videoId, media, bias, youtube_channel, viewCount, subscribersCount, videoCount
q5mP9oWuGzc,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
U1ACCwv2K1g,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
KLYa1nf2NLY,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
1XVYEV2eRJs,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
t_qEmLq4l0g,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
sPzDUL1ofIc,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
nE7Jj-MC3qM,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
2bh1xw9OIM0,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
_nkmfKB37Xw,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
tHMP5lksdLA,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
hFPwY8adNo8,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
xDbyPDBFCpw,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
eKX6e1B4hhA,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
9RUQh_8WRuQ,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
HPzuPkxl4Zk,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
a2boVlxm78U,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
72f5vcEQGL4,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
7ccog7LmMHk,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
gaPdC3DbWw0,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
EgBRmhQwCdU,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
RiE4pToKf_8,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
XMkkosdjTX4,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
Ln5iTk6g9dU,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
pAC0-LlbcOs,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
vPvqQ8lDrtA,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
f_NTDMQvYsw,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
UqDvOrjykpQ,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
Y-Z04BWBg3k,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
f75DFFNpggU,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
kZ34HeQaONA,global healing center, pseudoscience,UCUYI_ovPG0xO3mCjVCWvcbA, 18189564, 132755, 262
